seed,id,creation_mode,error_val,dem_fp_val,error_tst,dem_fp_tst,actual_depth,actual_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
107,0OFYDVSS8C,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,XO3QX7I92C,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,21,37,4
107,K4KR0QZJ8W,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,UKGHYKHYR8,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,81I8LUM4DH,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,63P8SJJF1D,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.08458646616541352,9,37,1.0,9,21,37,4
107,JTFBC5OGXY,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,22,37,4
107,IAYNJ00ULS,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,XJKGRWNPFW,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,J40D3L2IIT,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.1180451127819549,9,37,1.0,9,22,37,4
107,0YQ0NUBDBT,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.1180451127819549,9,37,1.0,9,22,37,4
107,92RK0ZSYB4,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,21,37,4
107,KNSQAM669Y,mutation,0.37274995181282,0.013084112149532728,0.35747115173796373,0.08458646616541352,9,37,1.0,9,22,37,4
107,IF2EP91BDB,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,22,37,4
107,3WM9839EJV,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,9XUGHOQMJW,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,Q0SZ0B7ZZB,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.08458646616541352,9,37,1.0,9,21,37,4
107,LQGFVM110Q,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.08458646616541352,9,37,1.0,9,21,37,4
107,V4OE3ITN7S,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,SJK79GMZJT,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,21,37,4
107,XH7S8VPDT5,mutation,0.37274995181282,0.013084112149532728,0.35747115173796373,0.08458646616541352,9,37,1.0,9,21,37,4
107,3OFAIYOASR,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,22,37,4
107,6LCSA116KA,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,21,37,4
107,KFD9QGJTKO,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,60RH1AWXK4,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
107,R721U5IP3X,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.1131578947368421,9,37,1.0,9,22,37,4
