id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
2Z6GHM3YSO,70,0,crossover,0.34152488009130244,0.07031456515992596,4,1.0,4,5,332,1,4,16
9Z3CTE7CO4,70,0,crossover,0.46685019671043815,0.0015860428231562196,7,0.0,7,14,354,4,7,50
QRJNS35SYB,70,0,crossover,0.5129525236818686,0.001321702352630183,6,1.0,6,16,217,4,6,46
UA9INRBO5D,70,0,crossover,0.5129525236818686,0.001321702352630183,6,1.0,6,15,290,4,6,46
DPB31X3SW4,70,0,crossover,0.5897817865079544,0.0317208564631245,4,1.0,4,16,220,4,4,16
JLCSXO1L04,70,0,crossover,0.33582554172012746,0.10071371927042028,6,1.0,6,6,334,2,6,51
ZDFHTXVDXR,70,0,mutation,0.32346030392279845,0.11181601903251392,7,0.0,7,19,323,1,7,61
BRYK2VQIMO,70,0,crossover,0.34856759723024666,0.04969600845889499,4,0.0,4,7,257,2,4,16
MB4R7KMDCW,70,0,mutation,0.5897817865079544,0.0317208564631245,4,1.0,4,10,251,3,4,16
36EDMFSD5Z,70,0,mutation,0.374814741140558,0.0021147237642082928,8,1.0,8,11,367,1,8,101
NIZ56C6G0T,70,0,crossover,0.3244339763334325,0.060269627279936566,8,0.0,8,19,360,1,8,81
XWM8GRHTYW,70,0,crossover,0.33943999322815566,0.03436426116838487,8,0.0,8,6,363,1,8,102
LVY2YFGUK9,70,0,crossover,0.45627309682776795,0.02220459952418713,7,0.0,7,10,297,4,7,53
PM54V4X8OO,70,0,mutation,0.3676801708314008,0.018503832936822562,8,1.0,8,14,390,1,8,96
SWZWZGYXO6,70,0,crossover,0.34152488009130244,0.07031456515992596,4,1.0,4,5,359,1,4,16
AFRGAVALT3,70,0,crossover,0.33523849092976776,0.04467353951890041,8,0.0,8,6,337,1,8,102
ANH6CJX4AP,70,0,mutation,0.46131839193873236,0.011895321173671647,7,0.0,7,17,369,4,7,48
B2N2H913WY,70,0,mutation,0.46302279794665124,0.02220459952418713,6,1.0,6,12,190,3,6,48
NDK3MIY718,70,0,crossover,0.3684131613315421,0.008194554586307135,8,1.0,8,19,354,1,8,89
EM7LY0UAGG,70,0,mutation,0.3478120528350652,0.06000528680941042,5,1.0,5,5,471,1,5,29
C9Y69QTVRR,70,0,mutation,0.333853638311266,0.054982817869415834,8,0.0,8,8,400,1,8,94
