id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
YOZRNR09Q9,7,1,crossover,0.3824197174412014,0.11375661375661383,0.0,10,12,160,1,10,149
GGQZXYV6KY,7,1,mutation,0.3813703024403834,0.13756613756613756,0.0,19,10,21,2,6,21
H66OVHTWU9,7,1,mutation,0.3764747127952358,0.14550264550264547,0.0,6,23,170,1,6,42
J2C77NYMQF,7,1,crossover,0.37499549551172784,0.14550264550264552,1.0,9,13,205,2,9,116
BS7DAJGFUB,7,1,crossover,0.36914900889911173,0.1521164021164021,1.0,8,23,160,1,8,80
1I98IXGACA,7,1,crossover,0.3665196946255571,0.1613756613756614,1.0,8,23,168,1,8,80
EHIUPJKLOQ,7,1,crossover,0.3660647715469081,0.164021164021164,1.0,9,23,205,2,9,103
GBQMVWBKWZ,7,1,mutation,0.3660647715469081,0.164021164021164,1.0,9,14,195,2,9,116
73KA47Q52W,7,1,mutation,0.36514880795887605,0.1732804232804233,1.0,9,19,232,2,9,110
VBOBXMH672,7,1,crossover,0.3619285814776412,0.1825396825396826,1.0,9,19,205,2,9,110
WU15ESWQCZ,7,1,mutation,0.3573282120498621,0.1878306878306878,1.0,8,21,202,2,8,84
2JKBTDECYD,7,1,crossover,0.3573282120498621,0.1878306878306878,1.0,8,24,175,2,8,82
NA07LZZH7Z,7,1,crossover,0.3499618860793241,0.2288359788359789,1.0,19,21,155,2,17,155
32POPON8X9,7,1,mutation,0.3469406715416382,0.27116402116402116,1.0,16,19,151,2,16,151
TCQ1Q4HY7S,7,2,inicialization,0.6969821460378616,0.0026455026455026454,0.0,18,28,511,8,18,168
UWB3UT5U8H,7,2,crossover,0.35873857420220867,0.1917989417989418,1.0,9,17,205,2,9,115
2C3IMLCMRY,7,2,crossover,0.3831349235671365,0.11375661375661383,0.0,10,12,169,1,10,149
7518YMQLR3,7,2,mutation,0.43050520254850055,0.0992063492063493,1.0,7,17,245,1,7,63
D4K12OOX4C,7,2,crossover,0.5421849777534657,0.04100529100529102,0.0,8,7,327,,8,102
XUWHJYMA5Y,7,2,crossover,0.6238171807305476,0.03835978835978837,0.0,21,17,334,8,21,243
ZB94KXWRXF,7,2,mutation,0.37168178143254216,0.15476190476190482,1.0,9,23,233,2,9,102
2KA2UTINUN,7,2,mutation,0.43871126410282824,0.0793650793650793,1.0,5,28,297,1,5,24
2FUAGEL7W2,7,2,crossover,0.6484525841574347,0.010582010582010581,0.0,15,22,361,8,15,162
BLDLR612V7,8,0,mutation,0.6585404934774921,0.0013227513227513227,0.0,13,37,455,7,13,115
Q95GW8AU9G,8,0,inicialization,0.6316948973355805,0.003968253968253954,0.0,19,17,451,9,19,242
GTXGG1MRY0,8,0,crossover,0.6225023119216431,0.005291005291005291,0.0,13,27,557,7,13,133
0248QKR3OC,8,0,crossover,0.6140181584815395,0.014550264550264563,0.0,15,27,533,7,15,153
P7DILR7LPI,8,0,crossover,0.6065399501717985,0.023809523809523808,0.0,19,29,572,7,19,169
IU08S1VV7Q,8,0,inicialization,0.445948582735345,0.02910052910052907,0.0,,2,,,23,623
1863M8PLZV,8,0,crossover,0.44207591978900984,0.05555555555555558,0.0,16,9,338,4,16,322
QNHT95311I,8,0,crossover,0.4088947594502267,0.06349206349206349,0.0,23,8,475,4,20,366
05FDSUE1QK,8,0,crossover,0.3667472787196181,0.10317460317460314,1.0,16,20,154,1,16,154
POQ4U4LMOA,8,0,crossover,0.3548098960226759,0.1507936507936508,1.0,11,22,131,1,11,131
U8H9YU1X0P,8,0,crossover,0.340133783692919,0.16798941798941797,1.0,8,11,456,2,8,90
CB450R9BQ1,8,0,mutation,0.3363084402476656,0.17724867724867727,1.0,8,25,161,2,8,81
VCTCXEOTPM,8,0,crossover,0.3317563696154302,0.20370370370370372,1.0,15,16,137,2,15,137
FVJAO5B7N7,8,1,crossover,0.6965661982044979,0.0026455026455026454,0.0,16,28,535,8,16,155
IZAR9UHDWF,8,1,inicialization,0.6869936534621495,0.006613756613756613,0.0,7,5,434,7,7,58
CXSRCVCLS1,8,1,inicialization,0.6674694351242633,0.007936507936507936,0.0,22,33,48,7,12,48
5EF91HSCL4,8,1,crossover,0.648209214508457,0.010582010582010581,0.0,15,21,483,8,15,167
CL0XOCV5ME,8,1,mutation,0.6393199616140504,0.019841269841269854,0.0,17,23,525,8,17,184
TFVJJMLD87,8,1,crossover,0.6084680124213383,0.023809523809523808,0.0,13,21,455,7,13,152
UDFQ89CR0S,8,1,crossover,0.598987767255398,0.03306878306878308,0.0,19,23,403,7,19,194
SBNFCW2PY9,8,1,crossover,0.5009107393560847,0.03439153439153436,0.0,21,5,623,,21,475
U6CC9UFH5M,8,1,mutation,0.4815563832162809,0.05291005291005291,0.0,8,5,327,4,8,127
U2SALI0WZY,8,1,mutation,0.47701480564597865,0.06216931216931215,0.0,8,10,327,4,8,111
O87MHW5I3O,8,1,crossover,0.46098187364380727,0.06613756613756616,0.0,12,12,280,4,12,217
C41LWB8PNO,8,1,mutation,0.43312139628369173,0.07407407407407407,0.0,17,9,486,4,17,330
PE5X5CEZGA,8,1,mutation,0.4232898521834434,0.07539682539682546,0.0,5,16,251,1,5,25
JNF8UDZCKF,8,1,crossover,0.4232898521834434,0.07539682539682546,0.0,5,16,246,1,5,25
HP054GFNOJ,8,1,crossover,0.3841068888806075,0.11243386243386244,1.0,10,19,158,1,10,124
NS4G6UARJT,8,1,crossover,0.37460643022404116,0.11375661375661383,0.0,10,8,158,1,10,158
ZWW6OHASLS,8,1,mutation,0.3742751950485489,0.12169312169312163,0.0,6,16,183,1,6,43
TUA1QFXFRJ,8,1,crossover,0.3704570512472367,0.13624338624338628,1.0,23,15,147,1,19,147
5L889LCNUR,8,1,crossover,0.36686110144387374,0.14021164021164023,0.0,6,10,274,1,6,43
1I98IXGACA,8,1,crossover,0.3665196946255571,0.1613756613756614,1.0,8,23,168,1,8,80
EHIUPJKLOQ,8,1,crossover,0.3660647715469081,0.164021164021164,1.0,9,23,205,2,9,103
GBQMVWBKWZ,8,1,mutation,0.3660647715469081,0.164021164021164,1.0,9,14,195,2,9,116
73KA47Q52W,8,1,mutation,0.36514880795887605,0.1732804232804233,1.0,9,19,232,2,9,110
VBOBXMH672,8,1,crossover,0.3619285814776412,0.1825396825396826,1.0,9,19,205,2,9,110
WU15ESWQCZ,8,1,mutation,0.3573282120498621,0.1878306878306878,1.0,8,21,202,2,8,84
2JKBTDECYD,8,1,crossover,0.3573282120498621,0.1878306878306878,1.0,8,24,175,2,8,82
NA07LZZH7Z,8,1,crossover,0.3499618860793241,0.2288359788359789,1.0,19,21,155,2,17,155
32POPON8X9,8,1,mutation,0.3469406715416382,0.27116402116402116,1.0,16,19,151,2,16,151
TCQ1Q4HY7S,8,2,inicialization,0.6969821460378616,0.0026455026455026454,0.0,18,28,511,8,18,168
SWE7RPPK5E,8,2,mutation,0.3566977088196889,0.2526455026455027,1.0,14,22,158,2,14,158
QD9TVWGKMA,8,2,inicialization,0.6235538395577507,0.027777777777777762,0.0,19,15,605,9,19,254
05BJPH1A3P,8,2,mutation,0.5068030380839281,0.07275132275132276,0.0,16,24,431,5,16,174
D4K12OOX4C,8,2,crossover,0.5421849777534657,0.04100529100529102,0.0,8,7,327,,8,102
2KA2UTINUN,8,2,mutation,0.43871126410282824,0.0793650793650793,1.0,5,28,297,1,5,24
