dem,error,generation,hyperparameter
0.1304347826,0.3138297872,1,"OrderedDict([('criterion', 0.09687910092253282), ('max_depth', 4.565241831511704), ('min_samples_split', 0.48271463090352207), ('min_samples_leaf', 0.2514606755247714), ('max_leaf_nodes', 998.2795025554201), ('min_impurity_decrease', 0.9572906998311548), ('class_weight', 0.20474341933386087)])"
0.1304347826,0.3138297872,1,"OrderedDict([('criterion', 0.0946202274113298), ('max_depth', 4.795202688224011), ('min_samples_split', 0.40125995320002095), ('min_samples_leaf', 0.022263182779352395), ('max_leaf_nodes', 813.4801232730599), ('min_impurity_decrease', 0.2784527530567029), ('class_weight', 0.5109746910659531)])"
0.1304347826,0.3138297872,1,"OrderedDict([('criterion', 0.31788156314208565), ('max_depth', 4.515790961945446), ('min_samples_split', 0.29495788520579025), ('min_samples_leaf', 0.24695924888093063), ('max_leaf_nodes', 641.9540296652748), ('min_impurity_decrease', 0.3598440938050887), ('class_weight', 0.44075795654563943)])"
0.1956521739,0.2978723404,1,"OrderedDict([('criterion', 0.9784689713875967), ('max_depth', 4.7798563322546945), ('min_samples_split', 0.21247571839098278), ('min_samples_leaf', 0.22014238446854978), ('max_leaf_nodes', 414.8348945898411), ('min_impurity_decrease', 0.9791865750721536), ('class_weight', 0.37437946298868297)])"
0.1956521739,0.2978723404,1,"OrderedDict([('criterion', 0.7575642001459282), ('max_depth', 4.270055391147417), ('min_samples_split', 0.8607926849276891), ('min_samples_leaf', 0.041275167944796), ('max_leaf_nodes', 11.0397776439882), ('min_impurity_decrease', 0.4218751244165817), ('class_weight', 0.4619423789574988)])"
0.1956521739,0.2978723404,1,"OrderedDict([('criterion', 0.6608896210789822), ('max_depth', 4.707828571040692), ('min_samples_split', 0.3507460652853987), ('min_samples_leaf', 0.23971869538209856), ('max_leaf_nodes', 793.0323622184287), ('min_impurity_decrease', 0.9750598552542984), ('class_weight', 0.31707821315266305)])"
0.0065217391,0.3617021277,1,"OrderedDict([('criterion', 0.20433355479031146), ('max_depth', 13.583819647108054), ('min_samples_split', 0.4754479003868657), ('min_samples_leaf', 0.014001139531741522), ('max_leaf_nodes', 809.3651493148124), ('min_impurity_decrease', 0.2648400262889048), ('class_weight', 0.7429585823008857)])"
0.0195652174,0.3404255319,1,"OrderedDict([('criterion', 0.10261713073674039), ('max_depth', 5.217467581070679), ('min_samples_split', 0.4366350871985466), ('min_samples_leaf', 0.014949550689753052), ('max_leaf_nodes', 436.3098412137251), ('min_impurity_decrease', 0.3405709098982399), ('class_weight', 0.8504672751482961)])"
0.0847826087,0.329787234,1,"OrderedDict([('criterion', 0.3303761293210398), ('max_depth', 6.91957780570401), ('min_samples_split', 0.46787209347610914), ('min_samples_leaf', 0.18018646973320615), ('max_leaf_nodes', 584.9047101099753), ('min_impurity_decrease', 0.33578979527420594), ('class_weight', 0.4448980406905974)])"
0.1,0.3244680851,1,"OrderedDict([('criterion', 0.09692246605084753), ('max_depth', 10.007642537563624), ('min_samples_split', 0.10534150755423499), ('min_samples_leaf', 0.367217961355388), ('max_leaf_nodes', 565.1331387731094), ('min_impurity_decrease', 0.030303325692756733), ('class_weight', 0.8811811448256549)])"
0.1304347826,0.3191489362,1,"OrderedDict([('criterion', 0.23297103023899335), ('max_depth', 4.279679493470294), ('min_samples_split', 0.7091843789456934), ('min_samples_leaf', 0.4273315237892352), ('max_leaf_nodes', 618.501755048264), ('min_impurity_decrease', 0.4433042805362999), ('class_weight', 0.3262443067940992)])"
0.1304347826,0.3191489362,1,"OrderedDict([('criterion', 0.294821972063547), ('max_depth', 4.316957449053098), ('min_samples_split', 0.7014593128215113), ('min_samples_leaf', 0.31846894988749497), ('max_leaf_nodes', 944.7011220190848), ('min_impurity_decrease', 0.8552849898846274), ('class_weight', 0.5039379526757235)])"
0.1304347826,0.3191489362,1,"OrderedDict([('criterion', 0.43635016041632746), ('max_depth', 4.095606529249673), ('min_samples_split', 0.048909885475805395), ('min_samples_leaf', 0.2555927000277051), ('max_leaf_nodes', 433.60202577952145), ('min_impurity_decrease', 0.612179515992116), ('class_weight', 0.2441487423416481)])"
0.1304347826,0.3191489362,1,"OrderedDict([('criterion', 0.4144584512311472), ('max_depth', 4.637269592725706), ('min_samples_split', 0.34444428400910615), ('min_samples_leaf', 0.23188436461122264), ('max_leaf_nodes', 620.0820349268324), ('min_impurity_decrease', 0.9659683106820441), ('class_weight', 0.2620446691698808)])"
0.1304347826,0.3191489362,1,"OrderedDict([('criterion', 0.2873194359716599), ('max_depth', 4.529612680213736), ('min_samples_split', 0.5632647041109602), ('min_samples_leaf', 0.023645196221015935), ('max_leaf_nodes', 141.791881965092), ('min_impurity_decrease', 0.37840412742806057), ('class_weight', 0.6145505634836469)])"
0.1956521739,0.3031914894,1,"OrderedDict([('criterion', 0.5728618949110087), ('max_depth', 4.9579102920043585), ('min_samples_split', 0.7341630680152755), ('min_samples_leaf', 0.03257952241353312), ('max_leaf_nodes', 305.55773689262134), ('min_impurity_decrease', 0.38404190688676104), ('class_weight', 0.6978590906221481)])"
0.1956521739,0.3031914894,1,"OrderedDict([('criterion', 0.7740722917655315), ('max_depth', 4.890646852221531), ('min_samples_split', 0.1863870464140705), ('min_samples_leaf', 0.2455695479728179), ('max_leaf_nodes', 641.3885888384915), ('min_impurity_decrease', 0.3641119613139139), ('class_weight', 0.7219277286875727)])"
0.1956521739,0.3031914894,1,"OrderedDict([('criterion', 0.6361311918483327), ('max_depth', 4.790291636391518), ('min_samples_split', 0.3470266018526654), ('min_samples_leaf', 0.13499309558052694), ('max_leaf_nodes', 703.9347927333331), ('min_impurity_decrease', 0.6940855549748981), ('class_weight', 0.4506043943919547)])"
0.0195652174,0.3457446809,1,"OrderedDict([('criterion', 0.4832397759177043), ('max_depth', 5.032347756508264), ('min_samples_split', 0.16952736374426935), ('min_samples_leaf', 0.11248383886963688), ('max_leaf_nodes', 837.80885586965), ('min_impurity_decrease', 0.6531746959446213), ('class_weight', 0.5623599695199443)])"
