id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
KK8IDBU5ZW,mutation,0.3849872941324485,0.18195881517549195,0.0,12,11,438,5,12,434
GJR95A3F66,crossover,0.3963536286889636,0.12416311625076071,0.0,12,11,405,4,12,405
C77XWL383X,crossover,0.3917221146985934,0.15971799553662003,1.0,18,28,975,4,18,319
A4VXAJKIOD,crossover,0.45042956040977,0.0925897748021911,0.0,17,19,886,2,17,430
7MZ5CJ6TC5,mutation,0.4587182792684874,0.11919253398255225,0.0,17,22,1217,2,17,380
RUJJPYD2DB,crossover,0.5207986219946625,0.07326536822884977,0.0,14,19,1141,1,14,379
EJY3O8D6PK,crossover,0.3943102336100941,0.0780330695881517,0.0,19,22,810,4,19,371
B2VEZMAAZN,mutation,0.3963316985128922,0.18365794278758374,0.0,19,22,696,5,19,374
MLV97Y5IVX,crossover,0.5293373943081734,0.15332724690606614,0.0,8,35,412,8,8,97
YR3V8UXTW8,mutation,0.5810461102760799,0.16595658348549402,0.0,7,34,396,8,7,72
I57TARKN3J,mutation,0.3680051311234048,0.1302749036315683,0.0,23,34,531,5,19,256
94ZXEQ8S0Q,crossover,0.3811640927475006,0.0780330695881517,0.0,22,32,524,4,19,272
XOQIX10NP9,crossover,0.3767303811660627,0.13793365794278767,0.0,9,18,819,4,9,182
ZKJNWVU4ED,crossover,0.37417970781998944,0.12652160681679847,0.0,9,15,549,4,9,190
Y9U95HPSJY,crossover,0.5293373943081734,0.15332724690606614,0.0,8,35,521,8,8,97
AHTCXN90SL,crossover,0.5810461102760799,0.16595658348549402,0.0,7,35,287,8,7,72
M27V2P70SE,crossover,0.3796204257537852,0.08718807060255629,0.0,10,35,809,4,10,164
TT67H6XO1V,mutation,0.37670914142372547,0.1359555690809494,0.0,9,34,755,4,9,138
JBZ9KS1SM7,crossover,0.3755844689454051,0.06464292960032458,0.0,21,36,733,4,18,245
